"yeah, da vinci code is an awesome movie i liked it pretty interesting.","yeah, vinci code awesome movie liked pretty interesting.",367
I really like The Da Vinci Code.,really like vinci code.,226
Da Vinci Code is amazing.,vinci code amazing.,143
The Da Vinci Code was awesome...,vinci code awesome...,143
"The Da Vinci Code's backtory on various religious historical figures and such were interesting at times, but I'm more of scifi girl at heart.","vinci code's backtory various religious historical figures interesting times, scifi girl heart.",46
Book ( s ): I love The Da Vinci Code..,book love vinci code..,172
"And then we went to see The Da Vinci Code, which was CRAZY awesome and Ian McKellen is my old, gay husband.","went see vinci code, crazy awesome ian mckellen old, gay husband.",168
"\" Now some people will say to me, Joe, I liked the Da Vinci code, you're being too hard on Dan Brown.","people say me, joe, liked vinci code, hard dan brown.",308
I love the da vinci code...,love vinci code...,59
Well I did enjoy Bridget Jones and I loved the Da Vinci Code so this idea appeals to me and it takes Chick Lit into one of the few arenas that the genre has yet to explore...,well enjoy bridget jones loved vinci code idea appeals takes chick lit one arenas genre yet explore...,46
I just read Da Vinci Code ( which was AWESOME by the way )  .,read vinci code awesome way,101
"The Da Vinci Code is excellent if you read it as normal as you read other novels,,,..","vinci code excellent read normal read novels,,,..",112
I loved the Da Vinci Code!,loved vinci code!,178
I love reading The Da Vinci Code!!!!,love reading vinci code!!!!,141
"I'm telling you, the Da Vinci Code is an AWESOME book!","telling you, vinci code awesome book!",99
"Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. ).","again, opinion may bit biased loved vinci code soundtrack.",377
"And I was quite pleased with my own open-mindedness, after having loved The Da Vinci Code so much, that I was able to get equal enjoyment \" seeing how the other side reads.","quite pleased open-mindedness, loved vinci code much, able get equal enjoyment seeing side reads.",46
I love the Da Vinci Code.,love vinci code.,198
Da Vinci code is awesome!,vinci code awesome!,263
The Da Vinci Code is awesome.,vinci code awesome.,104
The Da Vinci Code is SUCH an awesome book!,vinci code awesome book!,146
I LOVE THE DA VINCI CODE...,love vinci code...,59
I loved The Da Vinci Code.,loved vinci code.,83
the da vinci code is awesome!,vinci code awesome!,263
oh so beautiful Da Vinci Code...,beautiful vinci code...,299
i loved the da vinci code.,loved vinci code.,83
The Da Vinci Code is an awesome book.,vinci code awesome book.,146
Da vinci code is an awesome book.,vinci code awesome book.,146
I miss ripping acoustic music and the Da Vinci Code...,miss ripping acoustic music vinci code...,180
"Personally, I neither hate nor love the Da Vinci Code.","personally, neither hate love vinci code.",89
looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book.,looks amazingly fun possibly bit cold... tell anyone vinci code awesome book.,303
"Da Vinci Code is of course a awesome book, but you will figure that out on page 286.","vinci code course awesome book, figure page 286.",157
"I love \" The Da Vinci Code!",love vinci code!,312
i LOVED the Da Vinci Code.,loved vinci code.,83
"But seriously, the Da Vinci Code is an awesome book.","seriously, vinci code awesome book.",99
da vinci code is awesome.,vinci code awesome.,104
I love The Da Vinci Code.,love vinci code.,198
the da vinci code is awesome!,vinci code awesome!,263
omg i love the da vinci code that is such an awesome book!,omg love vinci code awesome book!,141
The Da Vinci Code is an awesome book...,vinci code awesome book...,146
The Da Vinci Code is still one of the most awesomest books i've ever read...,vinci code still one awesomest books ever read...,228
I did love The Da Vinci Code though.,love vinci code though.,394
The Da Vinci Code is awesome!..,vinci code awesome!..,143
I love the Da Vinci Code too.,love vinci code too.,394
"shit, i love the da vinci code.","shit, love vinci code.",250
"The Da vinci code really is a awesome book, you also got the other two books by Dan Brown?..","vinci code really awesome book, also got two books dan brown?..",382
"the da vinci code was an awesome book, i just finished it.","vinci code awesome book, finished it.",157
da vinci code is awesome..,vinci code awesome..,36
I love The Da Vinci Code...,love vinci code...,59
I LOVE THE DA VINCI CODE!!..,love vinci code!!..,27
I LOVE THE DA VINCI CODE!!.,love vinci code!!.,380
damn i love da vinci code.,damn love vinci code.,250
The Da Vinci Code was fucking awesome!..,vinci code fucking awesome!..,51
The Da Vinci Code was awesome.,vinci code awesome.,104
"Da Vinci Code was awesome, and sounds more probable to me than half the crap Fr.","vinci code awesome, sounds probable half crap fr.",132
I loved the Da Vinci Code and the like.,loved vinci code like.,298
Da Vinci Code-that was awesome!..,vinci code-that awesome!..,234
"I loved the Da Vinci code, but it raises a lot of theological questions most of which are very absurd...","loved vinci code, raises lot theological questions absurd...",46
The Da Vinci Code is an awesome book.,vinci code awesome book.,146
Yeah the Da Vinci code is awesome....,yeah vinci code awesome....,63
"\" The Da Vinci Code \" is awesome though.",vinci code awesome though.,146
i LOVE the da vinci code!,love vinci code!,312
The Da Vinci Code is an awesome book!!!,vinci code awesome book!!!,146
"Aaron  s mom and Aaron knew how much I loved the Da Vinci Code, so we took the tour inside.","aaron mom aaron knew much loved vinci code, took tour inside.",98
da vinci code is awesome!,vinci code awesome!,263
I loved the da vinci code....,loved vinci code....,295
the Da Vinci Code is awesome..,vinci code awesome..,36
I'd love to go see Da Vinci Code but probably not next week.,love see vinci code probably next week.,297
The Da Vinci Code was awesome.,vinci code awesome.,104
"im sick of books right now, but i must say, da vinci code was awesome..","sick books right now, must say, vinci code awesome..",242
"finished reading the da vinci code, which is an awesome book.","finished reading vinci code, awesome book.",270
that and the da vinci code is awesome so far.,vinci code awesome far.,146
I LOVE THE DA VINCI CODE!!!!... < < < < < 3333...,love vinci code!!!!... 3333...,383
And Da Vinci Code is awesome.,vinci code awesome.,104
"I read \" Angels & Demons \" first and am now onto \" The Da Vinci Code \" which so far is awesome.",read angels demons first onto vinci code far awesome.,242
Da Vinci Code is an awesome book..,vinci code awesome book..,146
Da Vinci Code is awesome!,vinci code awesome!,263
"read \" The Da Vinci Code \" is awesome,. but \" Angel and Demons \" is even better if you wanna read Dan Brown's books..","read vinci code awesome,. angel demons even better wanna read dan brown's books..",321
The Da Vinci Code is awesome...,vinci code awesome...,143
Oh oh oh and I loved The Da Vinci Code!,loved vinci code!,178
I love the Da Vinci code...,love vinci code...,59
The Da Vinci Code is awesome.,vinci code awesome.,104
and I love Da Vinci Code-illustrated edition is the only way to go!:)..,love vinci code-illustrated edition way go!:)..,172
"I loved the Da Vinci code, and I can't wait for the movie.","loved vinci code, wait movie.",294
i loved da vinci code recently......,loved vinci code recently......,298
Love the Da Vinci Code!(,love vinci code!(,380
to their right ALSO read and LOVED the Da Vinci code.,right also read loved vinci code.,186
I * LOVED * Da Vinci code.,loved vinci code.,83
and i love reading da vinci code.....,love reading vinci code.....,141
and i love Da Vinci Code too..,love vinci code too..,394
and i love Da Vinci Code too..,love vinci code too..,394
Da Vinci Code looks SO awesome...,vinci code looks awesome...,53
I finished The Da Vinci Code that was an awesome book!,finished vinci code awesome book!,99
"The Da Vinci Code was pretty awesome, but I liked Angels and Demons...","vinci code pretty awesome, liked angels demons...",276
"I loved reading Da Vinci Code, can't wait for the movie to come out!..","loved reading vinci code, wait movie come out!..",283
I love the Da Vinci Code.,love vinci code.,198
The Da Vinci Code really is an awesome book and you should all go get it.,vinci code really awesome book get it.,277
"I loved The Da Vinci Code, and I thought Angels & Demons was pretty good right up until the end where he kind of lost it a bit.","loved vinci code, thought angels demons pretty good right end kind lost bit.",345
i totally love the Da Vinci Code and i CA N'T wait until the movie!,totally love vinci code n't wait movie!,294
"Personally I loved The Da Vinci Code, its a great thriller.","personally loved vinci code, great thriller.",383
I love the Da Vinci Code.....,love vinci code.....,27
' The Da Vinci Code'it was AWESOME.,vinci code'it awesome.,118
and the da vinci code is an awesome book!,vinci code awesome book!,146
da vinci code is an awesome book..,vinci code awesome book..,146
The Da Vinci Code is AWESOME!.,vinci code awesome!.,143
I loved the da vinci code.,loved vinci code.,83
I loved the da Vinci Code-very interesting to think about things from a different angle.,loved vinci code-very interesting think things different angle.,266
Da Vinci Code is a friggin awesome book.,vinci code friggin awesome book.,99
"And the Da Vinci code is AMAZING, 30 pages left to go.","vinci code amazing, pages left go.",234
+ love undercover 3 + The Da Vinci Code....,love undercover vinci code....,383
outta all three i just loved the da vinci code.,outta three loved vinci code.,297
oh I love the book The Da VInci Code!,love book vinci code!,250
"besides drowining myself in the Da Vinci Code -- which, by the way, was awesome!).","besides drowining vinci code which, way, awesome!).",87
da vinci code is so awesome.,vinci code awesome.,104
and Da Vinci Code was so awesome already).,vinci code awesome already).,146
The Da Vinci Code was AWESOME.,vinci code awesome.,104
"So, the Da Vinci code was AWESOME...","so, vinci code awesome...",53
I loved the Da Vinci Code.,loved vinci code.,83
"Well the Da Vinci Code, was Awesome!","well vinci code, awesome!",379
i really loved the da vinci code.,really loved vinci code.,311
The book da vinci code is awesome.,book vinci code awesome.,329
"i saw the da vinci code, which was awesome.","saw vinci code, awesome.",211
And I love the Da Vinci Code(,love vinci code(,380
i know i loved the da vinci code too!!!,know loved vinci code too!!!,298
Da Vinci code was awesome!!!,vinci code awesome!!!,143
"lynn and jon at the theaters for da vinci code-other than that, EVERYONE AT THE LUAU, it was awesome..","lynn jon theaters vinci code-other that, everyone luau, awesome..",269
The Da Vinci Code was an awesome movie.,vinci code awesome movie.,33
"also, the da vinci code is AWESOME.","also, vinci code awesome.",329
* gasp * I LOVE the Da Vinci Code!!,gasp love vinci code!!,383
"As for movies, The Da Vinci Code was awesome and all of the protests against it make me sad to know that so many people who share my religion are idiots...","movies, vinci code awesome protests make sad know many people share religion idiots...",308
The Da Vinci Code is like one of the AWESOMEST books!!!,vinci code like one awesomest books!!!,286
"As sad as it may be that I am now dating my sister, I enjoyed our time together and absolutely loved The Da Vinci Code.","sad may dating sister, enjoyed time together absolutely loved vinci code.",246
just because the da vinci code is awesome doesn't mean jesus can't be the most admired bachelor!.,vinci code awesome mean jesus admired bachelor!.,99
DA VINCI CODE WAS AWESOME!!!!!..,vinci code awesome!!!!!..,143
Da Vinci Code is an awesome movie.,vinci code awesome movie.,33
The Da Vinci Code was AWESOME.,vinci code awesome.,104
Da vinci Code is one beautiful movie..,vinci code one beautiful movie..,210
I love Da Vinci Code.,love vinci code.,198
"Beyond the Da Vinci Code is a beautiful tome -- unauthorized, of course -- that deals with the novel and what inspired it.","beyond vinci code beautiful tome unauthorized, course deals novel inspired it.",271
I actually loved Da Vinci Code.,actually loved vinci code.,116
"I saw both Da Vinci Code and X-Men 3 The Last Stand on the day they came out, and the one that got me talking to most was X-Men, but Da Vinci Code was awesome too.","saw vinci code x-men last stand day came out, one got talking x-men, vinci code awesome too.",246
i loved the da vinci code...,loved vinci code...,288
"I agree with you, I loved Da Vinci Code, I just think it's ridiculous for people to get their panties in a bunch about the heresies and blashpemies and whatever the hell else it allegedly contains.","agree you, loved vinci code, think ridiculous people get panties bunch heresies blashpemies whatever hell else allegedly contains.",168
the da vinci code was awesome lah!,vinci code awesome lah!,146
Da Vinci Code was AWESOME..,vinci code awesome..,36
I'd love to watch The Da Vinci Code soon.,love watch vinci code soon.,351
"Its hard to decide on what move ti see when there are 2 good ones playing, I would love to see the Da Vinci Code but on the other hand Over The Hedge looks very funny...","hard decide move see good ones playing, love see vinci code hand hedge looks funny...",177
"i read that book \" angels and demons \" and i got hooked so i finished in two days, just like da vinci code...","read book angels demons got hooked finished two days, like vinci code...",391
oh and i loved the da vinci code.,loved vinci code.,83
"Back in Melbourne, Mom and I went to see Da Vinci Code, which was totally awesome, but they left things out!","back melbourne, mom went see vinci code, totally awesome, left things out!",271
hahash i love da vinci code tooo!!,hahash love vinci code tooo!!,197
The Da Vinci Code was awesome.,vinci code awesome.,104
"da vinci code was also awesome, but thats a given, tom hanks is in it after all.","vinci code also awesome, thats given, tom hanks all.",9
I loved The Da Vinci Code!!,loved vinci code!!,295
I loved The Da Vinci Code!,loved vinci code!,178
i loved the da vinci code was a kick ass movie...,loved vinci code kick ass movie...,209
"Then we went to the movies and saw The Da Vinci Code which honestly, was the most awesome movie I have ever seen.","went movies saw vinci code honestly, awesome movie ever seen.",146
"i loved the da Vinci code, even though it was the second book in the series.","loved vinci code, even though second book series.",253
The Da Vinci Code was awesome in my opinion -- the book and the movie.,vinci code awesome opinion book movie.,146
"I loved the Da Vinci Code, both the book and the movie.","loved vinci code, book movie.",172
the da vinci code was sooo awesome-good luck at ur tennis tournament..,vinci code sooo awesome-good luck tennis tournament..,234
The Da Vinci Code was AWESOME!!,vinci code awesome!!,71
I love hating America almost as much as I love supporting the Da Vinci Code.,love hating america almost much love supporting vinci code.,172
Da Vinci Code was awesome.,vinci code awesome.,104
i luv the book'da vinci code '....,luv book'da vinci code '....,63
da vinci code was awesome..,vinci code awesome..,36
Da Vinci Code was awesome.,vinci code awesome.,104
i loved the da vinci code.,loved vinci code.,83
"Well, Da Vinci Code was awesome....","well, vinci code awesome....",63
The Da Vinci Code was awesome..,vinci code awesome..,36
"The Da Vinci Code is an awesome book, I just finshed reading it.","vinci code awesome book, finshed reading it.",157
"The Da Vinci Code was so awesome, I cannot even begin to comprehend nor explain the awesomeness of its hardcore, awesome power of awesomeness.....","vinci code awesome, even begin comprehend explain awesomeness hardcore, awesome power awesomeness.....",283
PS da Vinci code is an awesome movie!.,vinci code awesome movie!.,146
i just love Da Vinci Code so much!,love vinci code much!,394
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
I wanted desperately to love'The Da Vinci Code as a film.,wanted desperately love'the vinci code film.,11
"The Da Vinci Code was awesome, I can't wait to read it...","vinci code awesome, wait read it...",13
The Da Vinci Code was absolutely AWESOME!,vinci code absolutely awesome!,12
da vinci code was an awesome movie...,vinci code awesome movie...,33
DA VINCI CODE IS AWESOME!!,vinci code awesome!!,71
I love The Da Vinci Code...,love vinci code...,59
The Da Vinci Code is awesome..,vinci code awesome..,36
The Da Vinci Code is awesome!!,vinci code awesome!!,71
Love luv lubb the Da Vinci Code!,love luv lubb vinci code!,29
the people who are worth it know how much i love the da vinci code.,people worth know much love vinci code.,72
